# x_m,y_m,w_tr_right_m,w_tr_left_m
694.1665391,987.8638228,4.753427293,4.238137336
673.5700624,969.609156,4.653341423,4.353387365
625.0537454,927.2622863,4.895748484,4.245705612
593.0511359,898.9857428,4.827740356,4.608645807
571.4007369,880.1599171,4.897733064,4.516974448
557.4099265,867.0042577,4.208702557,5.197233004
536.4262573,849.2067231,4.750747908,4.781958996
512.300499,827.662199,4.642349734,5.132653643
487.9973546,806.7523142,5.051264467,4.921132806
465.6378654,786.9519323,4.83873066,5.166849398
439.0505491,764.0169831,5.149765712,4.976887835
419.7635097,747.6659182,5.518279252,4.601943872
398.1924563,728.4460693,5.467061766,4.704350753
394.4181169,722.1315467,4.731513202,5.26068834
392.7335581,715.3848062,4.250476553,5.680107633
392.2839575,707.696727,4.552822287,5.415964125
394.2091614,688.6495115,5.157130245,4.925128483
396.4516052,663.9715938,5.079937713,4.955088985
395.8143797,648.5598877,4.538674027,5.272862933
393.2075759,635.2743031,5.107197335,5.012351324
390.2566584,624.545083,4.803731428,5.38709189
383.7690599,610.939158,5.088722791,5.014087967
375.5067828,597.69325,5.055217432,4.995689833
367.2284595,587.4927842,5.108109448,5.298760242
356.6893729,578.2458426,5.379668744,5.026207852
342.4377484,567.4904478,5.700822285,5.693224357
334.1821381,559.5874389,4.967659974,5.954658271
330.0633108,551.6279731,4.320424761,6.442873577
327.0309355,543.0861472,4.994390267,6.533362601
323.2228661,527.5430916,6.434300616,6.559623007
319.6241958,501.2977038,6.175604308,5.983894323
314.4236591,461.6245888,5.607254439,4.882027924
309.8491048,424.4266976,4.923029474,4.643057332
305.3807612,385.6939351,4.989688222,4.662021505
299.9629338,333.945817,4.862070521,5.150923255
293.6996065,279.8368604,5.391163686,4.816068994
285.9129657,204.8100256,5.447326511,5.05785416
280.8513459,154.8325352,5.318354517,5.084216826
274.4771527,91.87523254,5.051345332,5.427645752
268.774563,38.90344084,5.270340859,5.240899677
263.9451529,-8.370910395,5.139097596,5.347125748
258.8120415,-56.26991291,5.29990552,5.264098
253.6465588,-107.0642704,5.235706965,5.365125705
249.2494937,-151.7921981,4.97865706,5.564340342
242.8781017,-207.5737583,5.545176461,5.05529723
237.4731063,-260.8666869,5.451070136,5.067351017
232.2108387,-308.52997,5.728494179,4.782860946
227.6841142,-358.7296269,4.971086131,5.45686177
222.7114114,-405.8338521,5.26719506,5.555491034
220.6099624,-421.0054745,5.174271763,5.954581385
218.4568938,-428.0944974,5.143852744,5.941053274
214.7910396,-436.4484229,5.453886134,5.969982018
208.1911694,-446.878668,5.990643561,5.650194258
199.9425041,-455.4661438,6.655120632,4.84373638
190.3103242,-464.2714988,6.181456483,5.265478683
179.2289115,-472.2210497,5.618744284,6.009133266
167.3622655,-477.4119144,5.563866696,6.207800147
155.6233139,-480.3942499,5.466922346,6.285994883
141.3854091,-481.1892729,5.819961802,5.849735493
128.070967,-479.8569091,5.956868268,5.915776237
116.670515,-476.8550559,6.370227593,5.833651404
102.2614656,-472.3238514,6.103374706,5.911186107
87.62540933,-465.4563102,6.315947142,5.534817502
76.77240022,-458.9988211,6.440542454,5.405117658
63.79742018,-450.135006,5.88879333,6.019332858
51.89963308,-439.7862331,5.638611231,6.234311208
42.38898804,-430.0087164,5.247394608,6.466851428
34.06723675,-418.9263608,5.477090338,6.056708553
28.59026873,-410.6971131,5.720105362,5.852953984
20.91661797,-397.7319039,5.727759539,5.764150352
15.23850137,-386.2882363,5.820360036,5.677847409
8.542448459,-371.3645556,5.525615247,6.022675435
2.843002878,-354.3946525,5.654892477,6.052800577
-1.698215664,-339.3053498,5.171423003,6.499140556
-5.664055488,-319.9324423,5.298376186,6.495865245
-8.130500394,-304.3540892,5.035764227,6.797090415
