# x_m,y_m,w_tr_right_m,w_tr_left_m
1028.785201,1237.909464,3.818149232,5.212118277
1026.749295,1236.801179,3.800835935,5.228719566
1024.713614,1235.692165,3.784268898,5.244572807
1022.678218,1234.582345,3.768545397,5.259581117
1020.643169,1233.47164,3.753762726,5.273647646
1018.60853,1232.359976,3.74001819,5.286675576
1016.574361,1231.247274,3.727409114,5.302735696
1014.540723,1230.133457,3.716032833,5.317788813
1012.507679,1229.01845,3.705986702,5.331512693
1010.47529,1227.902174,3.697368091,5.343810614
1008.443616,1226.784553,3.690274387,5.354585888
1006.412721,1225.66551,3.684802996,5.363741858
1004.382665,1224.544967,3.681051345,5.371181897
1002.35351,1223.422849,3.679116883,5.376809406
1000.325317,1222.299078,3.679097083,5.380527813
998.2981478,1221.173577,3.681089443,5.38224057
996.2720639,1220.046269,3.685191494,5.385412394
994.2471268,1218.917077,3.691500797,5.389590226
992.2233979,1217.785925,3.70011495,5.391471946
990.2009388,1216.652735,3.711131593,5.390961073
988.179811,1215.51743,3.724648409,5.387961138
986.1600759,1214.379933,3.732059545,5.382375683
984.1417951,1213.240169,3.741421511,5.374108254
982.12503,1212.098058,3.753576715,5.349517287
980.1098422,1210.953526,3.768623031,5.314923628
978.0962931,1209.806494,3.786658396,5.277361057
976.0844442,1208.656885,3.807780819,5.236732943
974.0743571,1207.504624,3.832088384,5.192942603
972.0660933,1206.349632,3.859679264,5.145893295
970.0597141,1205.191833,3.890651725,5.095488205
968.0552812,1204.03115,3.925104138,5.04163044
966.052856,1202.867506,3.963134989,4.988928924
964.0525001,1201.700825,4.004842889,4.941253289
962.0542748,1200.531028,4.050326585,4.889833126
960.0582418,1199.358039,4.099684974,4.834571332
958.0644624,1198.181782,4.153017112,4.775370684
956.0729983,1197.002179,4.210422235,4.712133824
954.0839109,1195.819153,4.271999765,4.64476325
952.0972617,1194.632628,4.337849331,4.573161292
950.1131122,1193.442526,4.408070784,4.497230104
948.1315239,1192.248771,4.48276421,4.44680472
946.1525583,1191.051285,4.562029955,4.404836178
944.1762768,1189.849992,4.645968638,4.358244386
942.2027411,1188.644814,4.734681171,4.306931776
940.2320125,1187.435675,4.800313158,4.250800589
938.2641526,1186.222498,4.825781843,4.189752861
936.2992229,1185.005206,4.856314538,4.123690396
934.3372849,1183.783722,4.892011201,4.096659614
932.3784,1182.557968,4.932972043,4.070877098
930.4226298,1181.327869,4.979297544,4.039784158
928.4700358,1180.093346,5.031088482,4.003283219
926.5206794,1178.854324,5.088445954,3.961276478
924.5746221,1177.610725,5.151471403,3.913665874
922.6319256,1176.362472,5.220266641,3.860353066
920.6926511,1175.109489,5.249929135,3.801239405
918.7568604,1173.851698,5.268403107,3.736225908
916.8246147,1172.589022,5.292941237,3.687743719
914.8959757,1171.321385,5.278777836,3.672576804
912.9710049,1170.048709,5.264035107,3.651213791
911.0497636,1168.770918,5.255656984,3.623556977
909.1323135,1167.487934,5.253743129,3.589508328
907.2187161,1166.199681,5.256877927,3.548969454
905.3090327,1164.906082,5.263716668,3.548774215
903.403325,1163.607059,5.277320379,3.564901128
901.5016544,1162.302537,5.297789952,3.574237691
899.6040824,1160.992437,5.325226716,3.576687504
897.7106705,1159.676683,5.31130615,3.57215383
895.8214802,1158.355199,5.276581364,3.577876286
893.936573,1157.027906,5.249124567,3.590378639
892.0560105,1155.694728,5.229034705,3.595602406
